player_id,match_id,injury
1020,10585,
370,7879,
1198,10585,
582,7879,
232,8848,
1663,8848,
647,8848,
236,11561,
1310,11561,
587,18540,
5,18540,
1381,18540,
1042,15958,
1661,15958,
1133,15096,
1198,15096,
1626,15096,
381,17747,
370,11561,
1750,4497,
239,19685,
467,19685,
1676,19685,
928,4497,
890,3690,
646,4497,
1718,4497,
1599,13521,
232,6454,
1149,13521,
1464,13521,
78,4497,
1485,7214,
878,6454,
258,7214,
337,7214,
1432,3690,
485,3690,
875,3690,
582,12897,
1514,5902,
1452,5902,
51,12897,
1036,17292,
1091,12897,
922,17292,
284,17292,
803,5902,
1663,8567,
22,2205,
1464,2205,
51,14741,
370,14741,
587,84,
1184,84,
1310,11630,
78,84,
1718,84,
1042,4713,
647,9047,
1676,11630,
236,11630,
1661,4713,
284,4713,
232,9047,
435,9047,
467,16242,
239,16242,
1381,998,
1599,998,
485,2155,
875,2155,
793,2155,
1091,14741,
1537,1703,
1133,20327,
1452,20327,
1432,1703,
1198,1703,
1020,1703,
1750,7067,
928,7067,
646,7067,
337,7067,
258,7067,
138,7067,
803,9604,
1618,9604,
1663,17477,
922,17477,
1036,17477,
1599,11333,
1042,16380,
793,12882,
51,12882,
1091,12882,
381,16380,
5,11333,
304,16380,
1184,11333,
249,7342,
1036,6276,
258,19592,
485,7342,
337,19592,
239,19592,
467,19592,
922,6276,
1133,15191,
582,7342,
1750,4406,
928,4406,
646,4406,
640,5887,
1381,5887,
1020,10333,
567,13885,
1198,10333,
1618,5887,
1452,10333,
1432,14489,
1464,13383,
370,14489,
78,9054,
1593,13383,
236,13383,
1718,9054,
232,9054,
878,9054,
1149,13383,
1537,14489,
1663,8475,
337,8475,
258,8475,
1133,15197,
485,3219,
1593,3219,
236,3219,
389,3219,
1381,9608,
78,17359,
51,12881,
1091,12881,
284,4871,
381,4871,
582,5879,
1457,5879,
1618,5879,
1718,17359,
1042,16384,
520,16384,
922,17359,
337,16384,
258,16384,
1161,17359,
178,18490,
1198,18490,
247,18490,
232,4401,
1184,18490,
647,4401,
646,4401,
928,4401,
1750,4401,
1537,1753,
1432,1753,
467,1753,
239,1753,
22,13380,
1464,13380,
793,13380,
1663,14508,
239,1325,
582,7346,
467,1325,
1381,1325,
1133,15204,
1452,15204,
5,2108,
1184,2108,
793,2108,
370,14508,
1593,11638,
236,11638,
1750,13886,
567,13886,
1450,11334,
1361,11334,
646,13886,
485,11334,
928,13886,
172,18236,
1091,9613,
51,9613,
1020,10311,
1718,4927,
1663,10311,
78,4927,
1198,10311,
284,4927,
232,7058,
337,7058,
258,7058,
878,7058,
467,2648,
239,2648,
582,7354,
236,11639,
379,7354,
1593,11639,
5,7354,
284,16191,
485,15209,
1450,15209,
1133,15209,
793,2117,
1464,2117,
283,2117,
1432,19829,
1381,14521,
370,14521,
1537,19829,
1452,19829,
646,11639,
928,11639,
1750,11639,
51,12879,
1091,12879,
647,12879,
1457,5869,
232,12879,
567,5869,
1042,16386,
1618,5869,
304,16386,
1161,16386,
922,16386,
172,18233,
1381,10307,
1198,10307,
1042,17314,
661,10307,
1361,11335,
485,3234,
1750,11335,
249,3234,
1133,3234,
928,11335,
922,17314,
646,11335,
304,17314,
1161,17314,
1663,7053,
337,7053,
582,1756,
1537,1756,
890,1756,
258,7053,
351,182,
1718,182,
239,18704,
370,182,
587,18704,
379,18704,
467,18704,
878,9075,
172,13365,
1091,16171,
236,9075,
51,16171,
283,13365,
1593,9075,
1464,13365,
232,9075,
1452,13887,
317,13887,
1457,16387,
640,16387,
304,16387,
1042,16387,
370,1237,
1381,1237,
1663,8470,
1485,2178,
351,2178,
172,15217,
582,7362,
1133,15217,
1718,2178,
236,8470,
1593,8470,
467,19573,
379,7048,
1184,7048,
1056,19573,
875,2644,
485,2644,
258,7048,
239,19573,
337,7048,
646,4394,
1452,4394,
928,4394,
640,5958,
1750,4394,
1457,5958,
35,10302,
1198,10302,
1361,10302,
1159,9081,
232,9081,
51,9081,
1091,9081,
1266,8468,
236,11644,
1593,11644,
1361,14557,
1381,1164,
485,11644,
1718,186,
258,15221,
370,14557,
1071,1164,
1663,8468,
249,11644,
283,186,
1464,186,
351,186,
337,15221,
1133,15221,
467,19569,
232,5110,
1159,5110,
239,19569,
51,19569,
1091,19569,
1056,5110,
948,16388,
1042,16388,
172,18211,
890,17256,
922,17256,
1452,18211,
1036,17256,
1184,9619,
1507,9619,
1432,17256,
1266,6506,
337,13355,
420,6506,
283,13355,
258,13355,
1464,13355,
1432,16138,
802,189,
1042,966,
1381,966,
232,9088,
1159,9088,
1406,7373,
582,7373,
890,16138,
948,966,
1133,189,
351,189,
793,3240,
646,10292,
928,10292,
922,17369,
640,17369,
144,17369,
1750,10292,
35,10292,
1632,3240,
249,3240,
1198,10292,
1161,17369,
381,19563,
467,19563,
239,19563,
379,18678,
587,18678,
236,5134,
1593,5134,
1056,5134,
1718,13350,
351,13350,
283,13350,
69,13350,
1056,7042,
258,7042,
337,7042,
582,2642,
370,14583,
236,11647,
928,14583,
420,6448,
535,8466,
239,6448,
467,6448,
1593,11647,
890,8466,
1275,8466,
1452,19859,
1663,8466,
646,14583,
1750,14583,
35,2008,
485,19859,
1632,19859,
1381,11647,
1198,2008,
793,2008,
1406,11336,
1091,12874,
1419,11336,
1133,12874,
1502,12874,
922,17410,
1036,17410,
948,18566,
379,18566,
1042,18566,
1507,18566,
144,9089,
232,9089,
1159,9089,
250,9089,
1663,8464,
567,13888,
1056,13888,
467,19557,
890,1758,
948,1758,
1750,4391,
1217,19557,
239,19557,
1042,1758,
646,4391,
965,1758,
1133,4391,
793,2641,
420,19557,
337,7039,
1381,7039,
258,7039,
1452,19865,
1593,19865,
236,19865,
144,5842,
922,17433,
1036,17433,
351,10291,
250,5842,
1626,10291,
1198,10291,
1096,10291,
283,5842,
1464,5842,
948,11337,
381,18180,
1381,18180,
1502,12870,
1091,12870,
1452,3247,
485,3247,
1773,3247,
1406,11337,
1720,12870,
1042,11337,
1750,4387,
1464,13331,
582,13331,
646,4387,
283,13331,
337,4387,
258,4387,
1593,11654,
1036,16105,
1217,6373,
355,6373,
890,2054,
965,2054,
793,2054,
5,15237,
587,15237,
1133,15237,
1663,11654,
236,11654,
922,16105,
370,14610,
1626,14610,
144,193,
250,193,
351,193,
802,193,
1198,14610,
1056,4726,
245,4726,
